id,college_id,type,title,detail,is_official,source_url,minimum_sat,minimum_toefl,required_round,allowed_rounds,early_action_adjustment,early_decision_adjustment,affected_major,minimum_strength_band,source_note
mit_sat,mit,standardizedTest,Required standardized testing,MIT requires SAT/ACT for first-year applicants.,true,https://mitadmissions.org/apply/firstyear/tests-scores/,1500,,,,,,,,Official admissions page
caltech_sat,caltech,standardizedTest,Required standardized testing,Caltech is treated as test-required in v1 gate data.,true,https://www.admissions.caltech.edu/apply/first-year-applicants/standardized-tests,1500,,,,,,,,Official admissions page
georgetown_sat,georgetown,standardizedTest,Required standardized testing,Georgetown is treated as requiring standardized testing.,true,https://uadmissions.georgetown.edu/applying/preparation-process/,1450,,,,,,,,Official admissions page
cornell_sat,cornell,standardizedTest,Required standardized testing,Cornell colleges with test-required policies require a valid score.,true,https://admissions.cornell.edu/apply/first-year-applicants/standardized-testing-policies,1450,,,,,,,,Official admissions page
notre_dame_sat,notre_dame,standardizedTest,Required standardized testing,Notre Dame is treated as test-required in v1 gate data.,true,https://admissions.nd.edu/apply/standardized-testing/,1420,,,,,,,,Official admissions page
english_minimum_inferred,*,english,English proficiency,International applicants normally need proof of English proficiency; v1 inferred floor uses TOEFL 90 or IELTS 6.5 unless an official school rule is added.,false,,,90,,,,,,,Inferred global rule; IELTS floor handled in engine as 6.5
stem_readiness_inferred,*,curriculum,STEM course readiness,STEM applicants need strong advanced math/science preparation.,false,,,,,,,,,3,Inferred global rule
arts_portfolio_inferred,*,portfolio,Portfolio readiness,Arts applicants need a portfolio-ready application.,false,,,,,,,,Arts,,Inferred global rule
princeton_rounds,princeton,round,First-year application rounds,Princeton offers Single-Choice Early Action and Regular Decision for first-year applicants; SCEA is non-binding and restrictive.,true,https://admission.princeton.edu/apply/first-year-application-dates-deadlines,,,,EA|RD,0.35,,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
mit_rounds,mit,round,First-year application rounds,MIT has Early Action and Regular Action; Early Action is non-binding and uses the same review process and criteria as Regular Action.,true,https://mitadmissions.org/apply/firstyear/early-vs-regular/,,,,EA|RD,0,,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
harvard_rounds,harvard,round,First-year application rounds,Harvard offers Restrictive Early Action and Regular Decision; Harvard states early timing does not benefit an individual applicant.,true,https://college.harvard.edu/admissions/apply/first-year-applicants,,,,EA|RD,0,,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
stanford_rounds,stanford,round,First-year application rounds,Stanford offers Restrictive Early Action and Regular Decision for first-year applicants.,true,https://admission.stanford.edu/apply/first-year/,,,,EA|RD,0.35,,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
yale_rounds,yale,round,First-year application rounds,Yale offers Single-Choice Early Action and Regular Decision; Yale states evaluation criteria are the same regardless of timeline.,true,https://admissions.yale.edu/single-choice-early-action,,,,EA|RD,0,,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
uchicago_rounds,uchicago,round,First-year application rounds,"UChicago offers Early Action, Early Decision I, Early Decision II, and Regular Decision for first-year applicants.",true,https://collegeadmissions.uchicago.edu/apply/first-year-applicants,,,,EA|ED|RD,0.25,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
duke_rounds,duke,round,First-year application rounds,Duke offers Early Decision and Regular Decision for first-year applicants; Early Decision is binding.,true,https://admissions.duke.edu/apply/,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
johns_hopkins_rounds,johns_hopkins,round,First-year application rounds,"Johns Hopkins offers Early Decision I, Early Decision II, and Regular Decision for first-year applicants.",true,https://apply.jhu.edu/how-to-apply/,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
northwestern_rounds,northwestern,round,First-year application rounds,Northwestern offers Early Decision and Regular Decision for first-year applicants.,true,https://admissions.northwestern.edu/apply/requirements.html,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
upenn_rounds,upenn,round,First-year application rounds,Penn offers Early Decision and Regular Decision for first-year applicants; Early Decision is binding.,true,https://admissions.upenn.edu/admissions-and-financial-aid/preparing-for-admission/freshman-admission,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
caltech_rounds,caltech,round,First-year application rounds,Caltech offers Restrictive Early Action and Regular Decision; Caltech says both admit rates are under 5% and the difference is negligible.,true,https://www.admissions.caltech.edu/apply/first-year-applicants/deadlines,,,,EA|RD,0,,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
cornell_rounds,cornell,round,First-year application rounds,Cornell offers Early Decision and Regular Decision for first-year applicants.,true,https://admissions.cornell.edu/apply/first-year-applicants,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
brown_rounds,brown,round,First-year application rounds,Brown offers Early Decision and Regular Decision for first-year applicants.,true,https://admission.brown.edu/first-year/application-checklist,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
dartmouth_rounds,dartmouth,round,First-year application rounds,Dartmouth offers binding Early Decision and Regular Decision for first-year applicants.,true,https://admissions.dartmouth.edu/apply-dartmouth,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
columbia_rounds,columbia,round,First-year application rounds,Columbia offers Early Decision and Regular Decision for first-year applicants.,true,https://undergrad.admissions.columbia.edu/apply/first-year,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
uc_berkeley_rounds,uc_berkeley,round,First-year application rounds,University of California campuses use the UC first-year filing period and do not offer EA or ED first-year rounds.,true,https://admission.universityofcalifornia.edu/how-to-apply/applying-as-a-freshman/dates-and-deadlines.html,,,,RD,,,,,Official admissions page reviewed for Fall 2026 first-year application plans.
rice_rounds,rice,round,First-year application rounds,"Rice offers Early Decision I, Early Decision II, and Regular Decision for first-year applicants.",true,https://admission.rice.edu/apply/first-year-domestic-applicants,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
ucla_rounds,ucla,round,First-year application rounds,University of California campuses use the UC first-year filing period and do not offer EA or ED first-year rounds.,true,https://admission.universityofcalifornia.edu/how-to-apply/applying-as-a-freshman/dates-and-deadlines.html,,,,RD,,,,,Official admissions page reviewed for Fall 2026 first-year application plans.
vanderbilt_rounds,vanderbilt,round,First-year application rounds,"Vanderbilt offers Early Decision I, Early Decision II, and Regular Decision for first-year applicants.",true,https://admissions.vanderbilt.edu/apply/first-year-process,,,,ED|RD,,0.65,,,Official admissions page reviewed for Fall 2026 first-year application plans. Early-round probability adjustment is a bounded observational calibration informed by user-provided 2024-25 early-vs-RD admit-rate tables and early-admission literature; it is not an official causal guarantee.
